acs-clean.co.uk	advanced cleaning technology ltd	01223 813475	info@advancedcleaningservices.co.uk
artofclean.co.uk	art of clean uk	01223 863 632;01223 863632	
autokare-cambridge.co.uk	Other Services – AutoKare Cambridge	01223 412 772	
blackwell.co.uk	heffers	01223 463200	
brunswick.cambs.sch.uk	Brunswick Nursery School, Cambridge	01223 508790	
cambridgeacademictuition.co.uk	cambridge academic tuition	07932 677933	info@cambridgeacademictuition.co.uk
cambridgeacademy.co.uk	cambridge academy of english (cae)	01223 277 230;01223 277230	cae@cambridgeacademy.co.uk
cambridgecleans.co.uk	Refreshingly Different	01480 630 180;01480630180	
cambridgeclearbeauty.co.uk	cambridge clear beauty limited	01223 214 960	
cambridgeconcours.com	Cambridge Concours Home - Cambridge Concours 2024	07572 510313;07920522005	
cambridgecyclecompany.co.uk	cambridge cycle company	01223 839300	
cambridgeimprint.co.uk	cambridge imprint	01223 921 991;07732 131135	
cambridgelanguageassociates.com	business english language school	01223 755751	info@tefl-course.net
cambridgelaserclinic.com	dr nathan holt - cambridge laser clinic	01223 789 900;01223 789900	
cambridgemakers.org	Weekly Jewellery and Silversmithing Courses	01223 890308	cambridgeartmakers@gmail.com;info@cambridgewoodwindmakers.org
cambridgeosteopathy.co.uk	Cambridge Osteopathy – Osteopathy and Sports Massage	07986 767702	cambridgeosteopathy@gmail.com
cambridgepeacefulpets.com	About Us | Cambridge Peaceful P	07907 903521	
cambridgepianos.co.uk	cambridge pianoforte	01223 424 007;01223 424007	info@cambridgemusic.net
cambridgesigncompany.co.uk	the cambridge sign company	01223 581 400;01223 581400	sales@cambridgesigncompany.co.uk
cambscuisine.co.uk	cambscuisine	01480 463609	
camlang.co.uk	the cambridge centre for languages limited	01223 470535	info@camlang.co.uk
chameleonstudios.co.uk	chameleon studios ltd	01223 232192	hello@chameleonstudios.co.uk
childbasepartnership.com	Cambridgeshire Archives	01223 483991	westcambridge.nursery@childbase.com
christinemariecare.co.uk	Christine Marie Care  | Best carer company in Cambridge | Homecare and	01223751362	office@christinemariecare.co.uk
citiservi.co.uk	JP Soft Furnishings, Cambridge | Upholsterers Citiservi UK	01223211274;01223312374	
cosmexclinic.co.uk	cosmex clinic	01223 846363	info@cosmexclinic.co.uk
cuckoo-bridge.com	Home ⋆ Cuckoo Bridge Nursery & Farm Shop	01480 279 236	
cvsvets.com	Arbury Road Veterinary Centre | CVS Vets	01223 361 911	
cyclecentric.com	Cyclecentric | Tandem and Innovative Cycle Centre | Home	01954 782020	
eclipsedesigncambridge.co.uk	eclipse designcambridge	01954 201983;07765 878814	
eoevets.com	East of England Veterinary Specialists: Veterinary Referral ...	01223 795023	
freewheel.co.uk	Cambridge Cycle Co	01223 839300	
gardencentreguide.co.uk	Garden centre Darwin Nurseries & Farm Shop in Cambridge opening hours 	01223293911	
gardenfarmflowers.co.uk	Flower grower in Huntingdon, Cambs. Pick your own. Garden Farm Flowers	07814 449799;07814449799	owgardenfarm@hotmail.co.uk
gbscleaning.co.uk	gbs cleaning	01480 367 095;01480 367095	info@gbscleaning.co.uk
gda.dance	generations dance academy	01480 434625;07930 608806	studio@gda.com;studio@gda.dance
goldstraw.co.uk	goldstraw goldsmiths	01480 407704	sales@goldstraw.co.uk
grantavets.co.uk	granta veterinary specialists	01223 608 213	hello@grantavets.co.uk
heathfruitfarm.co.uk	Heath Fruit Farm	07717441620	enquiries@heathfruitfarm.co.uk
